"FDR"	"mz_ml_files/A1"	"mz_ml_files/A2"	"mz_ml_files/A3"	"mz_ml_files/B1"	"mz_ml_files/B2"	"mz_ml_files/B3"	"mz_ml_files/C1"	"mz_ml_files/C2"	"mz_ml_files/C3"	"mz_ml_files/D1"	"mz_ml_files/D2"	"mz_ml_files/D3"
"HPRR4110123"	0.57574093	3.2926593e-05	0.25025693	0.0027788403	0.38504538	8.6111804e-06	1.0	0.57459968	0.52714807	1.0	1.0	1.0
"HPRR260088"	0.0012372241	0.00098750484	1.0	1.0	1.0	1.0	7.4292802e-05	1.0	1.0	1.0	1.0	1.0
"HPRR3730024"	0.05600417	0.020068981	0.097337462	0.04784536	0.047222935	0.037764587	0.027253775	0.31258941	0.038669121	1.0	1.0	1.0
"HPRR3730022"	0.0022128134	0.0018639343	0.00060129422	0.0001617993	0.00027921723	0.00047018475	1.0	1.0	1.0	1.0	0.00050284766	1.0
"HPRR4160392"	0.0010089061	1.0	0.00019298772	0.003809284	0.00071120693	8.9550238e-05	1.0	1.0	0.99179858	1.0	1.0	0.99017942
"HPRR4290990"	1.0	0.95692837	1.0	1.0	0.94727278	1.0	1.0	0.81565797	0.98612869	1.0	1.0	1.0
"HPRR4290991"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4290996"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4290997"	0.99070925	0.96870989	0.99205238	0.97297287	0.94727278	0.96924508	1.0	0.97066587	0.99179858	1.0	1.0	1.0
"HPRR4290994"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4290995"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR3830169"	0.87820959	0.96788687	7.6982156e-05	0.38375252	0.71629226	0.9691329	1.0	1.0	1.0	1.0	0.00041199659	1.0
"HPRR4290998"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4290999"	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
"HPRR4050590"	0.35336754	0.42027593	0.23623511	0.28397742	0.31860167	0.45725077	0.30872518	0.3948383	0.29658368	1.0	1.0	1.0
"HPRR3830237"	0.966537	0.96790874	0.99496549	1.0	1.0	1.0	1.0	0.96584505	0.98951119	1.0	1.0	1.0
"HPRR2550550"	0.013432327	0.04264171	0.084535442	0.02775551	0.018790381	0.038652875	0.07460583	0.081489883	0.13190322	1.0	0.00059581903	1.0
"HPRR3720532"	0.19983855	0.14794406	0.13125697	0.35089681	0.17601371	0.39606208	1.0	0.29992515	0.10826938	1.0	1.0	1.0
